id,country,car,currency
966,PL,Saturn,PLN
967,XK,Chevrolet,EUR
968,VN,Buick,VND
969,IR,Chevrolet,IRR
970,ID,Kia,IDR
971,PL,Kia,PLN
972,ID,Honda,IDR
973,BR,Lexus,BRL
974,BR,Nissan,BRL
975,TH,GMC,THB
976,ZM,Plymouth,ZMW
977,PH,Ford,PHP
978,ID,Maserati,IDR
979,CN,Pontiac,CNY
980,AR,Volkswagen,ARS
981,US,Volkswagen,USD
982,CA,Chevrolet,CAD
983,GF,Mercury,EUR
984,US,Subaru,USD
985,PL,Volkswagen,PLN
986,BW,Pontiac,BWP
987,BR,GMC,BRL
988,YE,Mazda,YER
989,ID,Hyundai,IDR
990,CN,Honda,CNY
991,JP,Mercedes-Benz,JPY
992,NG,Mitsubishi,NGN
993,PE,Mitsubishi,PEN
994,JP,Dodge,JPY
995,CN,Dodge,CNY
996,CR,Buick,CRC
997,TH,Chevrolet,THB
998,ID,Maybach,IDR
999,CN,BMW,CNY
1000,YE,Toyota,YER
